question|answer|context|language
¿Puedo reasentarme en España?|España acordará anualmente el número de personas que podrán ser objeto de reasentamiento en España. Para más información, ver: https://www.acnur.org/es-es/acnur-en-espana/nuestro-trabajo|True|Español
¿Cuando solicito la condición de refugiado, asilo o subvención?|Debe comparecer personalmente a los lugares reglamentarios sin demora y en todo caso en el plazo máximo de un mes desde la entrada en el territorio español o, en todo caso, desde que se produzcan los acontecimientos que justifiquen el temor fundado de persecución o daños graves.|True|Español
¿Cuáles son mis derechos como solicitante?|a) a ser documentado como solicitante de protección internacional; b) a asistencia jurídica gratuita e intérprete; c) a que se comunique su solicitud al ACNUR; d) a la suspensión de cualquier proceso de devolución, expulsión o extradición que pudiera afectar al solicitante; e) a conocer el contenido del expediente en cualquier momento; f) a la atención sanitaria en las condiciones expuestas; g) a recibir prestaciones sociales específicas en los términos que se recogen en esta Ley.|True|Español
¿Cuáles son mis obligaciones como solicitante?|a) cooperar con las autoridades españolas en el procedimiento para la concesión de protección internacional; b) presentar, lo antes posible, todos aquellos elementos que, junto a su propia declaración, contribuyan a fundamentar su solicitud. Entre otros, podrán presentar la documentación de que dispongan sobre su edad, pasado –incluido el de parientes relacionados–, identidad, nacionalidad o nacionalidades, lugares de anterior residencia, solicitudes de protección internacional previas, itinerarios de viaje, documentos de viaje y motivos por los que solicita la protección; c) proporcionar sus impresiones dactilares, permitir ser fotografiados y, en su caso, consentir que sean grabadas sus declaraciones, siempre que hayan sido previamente informados sobre este último extremo; d) informar sobre su domicilio en España y cualquier cambio que se produzca en él; e) informar, asimismo, a la autoridad competente o comparecer ante ella, cuando así se les requiera con relación a cualquier circunstancia de su solicitud.|True|Español
¿Cuánto tiempo tengo que esperar a que se resuelva la solicitud?|El periodo de resolución es de seis meses. Si en este tiempo no se ha notificado la resolución, se entiende que ha sido desestimada.|True|Español
¿Cómo se comunica la resolución de la solicitud?|A efectos de comunicaciones y notificaciones, se tendrá en cuenta el último domicilio o residencia que conste en el expediente. Cuando no prospere este procedimiento de notificación, el trámite se realizará a través del Portal del Ciudadano, del portal electrónico de la Oficina de Asilo y Refugio y de los tablones de anuncios, accesibles al público, de la Comisaría de Policía correspondiente o de la Oficina de Extranjeros de la provincia en que conste el último lugar de residencia de la persona solicitante y, en todo caso, de la Oficina de Asilo y Refugio.|True|Español
¿Qué familiares pueden beneficiarse de mi condición de refugiado?|a) Los ascendientes en primer grado que acreditasen la dependencia y sus descendientes en primer grado que fueran menores de edad, quedando exceptuado el derecho a la extensión familiar en los supuestos de distinta nacionalidad. b) El cónyuge o persona ligada por análoga relación de afectividad y convivencia, salvo en algunos supuestos (divorcio, violencia de género, etcétera) c) Otro adulto que sea responsable del beneficiario de protección internacional, de acuerdo con la legislación española vigente, cuando dicho beneficiario sea un menor no casado. d) Otros miembros de la familia de la persona refugiada o beneficiaria de protección subsidiaria siempre que resulte suficientemente establecida la dependencia respecto de aquellas y la existencia de convivencia previa en el país de origen.|True|Español
¿Cuál es la diferencia entre condición de refugiado, la protección subsidiaria y protección internacional?|La condición de refugiado requiere ser perseguido por algún motivo (raza, religión, género, etc.), mientras que la protección subsidiaria no requiere una persecución a un grupo pero igualmente existe un riesgo de daños al volver al país de origen; la protección internacional engloba los dos conceptos previos.|True|Español
¿Cómo puedo ir a un centro de acogida?|Es necesario cumplir una serie de requisitos marcados por el Ministerio de Inclusión, Seguridad Social y Migraciones. Si eres solicitante de protección internacional y necesitas acceder a un dispositivo de acogida, puedes acudir a la entidad que gestiona el Programa de Primera Acogida en la provincia donde se encuentre.|True|Español
¿Qué puedo hacer si me encuentro en situación de vulnerabilidad por falta de ingresos económicos o de una vivienda?|Si eres solicitante de asilo, refugiado, apátrida, tienes autorización a permanecer en España por protección internacional o eres inmigrante en situación de vulnerabilidad social, partiendo de tus necesidades, el equipo de inclusión del CEAR (Comisión Española de Ayuda al Refugiado) te facilitará la ayuda adecuada y diseñará contigo un itinerario que promueva tu autonomía personal y tu plena integración social.  Busca tu delegación de CEAR  más cercana para ponerte en contacto.|True|Español
¿Dónde puedo encontrar asesoramiento para buscar empleo, crear una empresa o formación profesional?|En el CEAR (Comisión Española de Ayuda al Refugiado) se orienta sobre cómo buscar empleo y te facilitan ofertas de empleo según tu perfil. También ofrecen cursos profesionales para mejorar tus opciones de encontrar un trabajo. Si lo que quieres es montar una empresa o autoemplearte, te asesoran y facilitan el acceso a ayudas económicas. Busca tu delegación de CEAR  más cercana para ponerte en contacto.|True|Español
¿Qué organizaciones pueden ayudarme?|Las organizaciones que pueden ayudar a las personas que requieren de protección internacional son principalmente CEAR (Comisión Española de Ayuda al Refugiado) y ACNUR (Alto Comisionado de las Naciones Unidas para los Refugiados).|True|Español
¿Cuáles son los pasos del procedimiento de asilo?|Fase 1: Admisión a trámite. En el plazo de un mes, la OAR le comunicará a la persona si no se ha admitido su solicitud. Si durante este mes, no se han puesto en contacto con la persona solicitante, se entenderá como admitida a trámite. En el caso de que hayas presentado la solicitud en un puesto fronterizo, las autoridades tienen hasta cuatro días para decidir la admisión a trámite. Fase 2: Instrucción. La OAR examinará en profundidad tu solicitud admitida a trámite. Fase 3: Resolución. Una vez estudiada la solicitud, te comunicarán la resolución de la misma.|True|Español
¿Es confidencial el proceso?|Sí. Todas las personas que hablen contigo (funcionarios, policías, intérpretes, abogados, etc.) están obligadas a mantener la confidencialidad, tanto de tus datos como de todo lo que expongas. Es importante que sepas que nunca se comunicará tu solicitud al gobierno de tu país de origen o de procedencia.|True|Español
¿Puedo contar con la ayuda de un abogado y de un intérprete?|Sí. Los solicitantes de protección internacional tienen derecho tanto a asistencia jurídica gratuita como a que se les proporcione un intérprete.|True|Español
¿A qué me da derecho la solicitud de asilo?|Ser solicitante de protección internacional te da derecho a permanecer en España de manera regular mientras se resuelve la solicitud. Queda suspendido cualquier proceso de devolución y expulsión del país. También tienes derecho a recibir asistencia jurídica y sanitaria, a acceder al programa de acogida estatal y a ser documentado como solicitante de protección internacional.|True|Español
¿Qué documentación tendré si me aceptan la solicitud?|El primer documento que tendrás es la Manifestación de Voluntad de Presentar la Solicitud de Protección Internacional. En este papel ya consta el día en que se realizará la entrevista y el lugar, los datos de identidad de la persona interesada, su fotografía y los documentos que tendrá que presentar en la entrevista. Una vez finalizada la entrevista, se entregará el Resguardo de presentación de la solicitud de protección internacional. Es un documento que identifica como solicitante de protección internacional y tiene una duración de un mes prorrogable ocho meses más. Se trata de un documento provisional mientras se estudia la solicitud presentada. Pasados seis meses de la solicitud, este documento otorga una autorización para trabajar. Pasados los nueve meses, tendrás que renovarlo y te entregarán la tarjeta roja. Este documento te identifica como solicitante de protección internacional y permite estar y trabajar en el territorio estatal durante seis meses. Es un documento provisional mientras se estudia la solicitud presentada. Los solicitantes del estatuto de apátrida disponen de un documento verde con foto y un número de identidad de extranjero (NIE), pero no tienen autorización para trabajar.|True|Español
¿Qué prestaciones sociales recibiré?|El Gobierno español dispone de un programa de atención social para las personas solicitantes de protección internacional que no dispongan de recursos económicos para cubrir sus necesidades básicas. Para acceder al programa, debes haber iniciado la solicitud de protección internacional en los seis primeros meses desde tu llegada a territorio de la Unión Europea. Debes tener en cuenta que se trata de un dispositivo de acogida estatal, con plazas en todo el territorio español, y es el Gobierno español quien te asignará tu plaza, independientemente de donde hayas iniciado el procedimiento de solicitud de protección internacional.|True|Español
¿Quién y cuándo tomará una decisión sobre mi caso?|El Gobierno español es la única autoridad competente en materia de asilo y refugio. Lo decidirá el Ministro del Interior español, a propuesta de la Comisión Interministerial de Asilo y Refugio (CIAR). Una vez admitida a trámite la solicitud, debería pronunciarse en un periodo máximo de seis meses. Sin embargo, el proceso suele durar más. Si se retrasa, deben informarte sobre el motivo de la demora. Recuerda que tienes derecho a consultar tu expediente.|True|Español
Si obtengo protección internacional, ¿obtengo también la nacionalidad?|No, pero si accedes al estatuto de refugiado se reducen los plazos de acceso y puedes solicitarla en cinco años.|True|Español
¿Qué ocurre si me deniegan la petición de asilo?|En ese caso, deberás abandonar España, excepto si dispones de algún tipo de autorización de residencia. También puedes recurrir la denegación de tu solicitud de asilo ante un tribunal.|True|Español
¿Va a llover hoy?|Disculpa, no dispongo de suficientes datos para contestar a esta pregunta.|False|Español
¿Dónde puedo jugar a fútbol?|Disculpa, no dispongo de suficientes datos para contestar a esta pregunta.|False|Español
¿Por qué vuelan los pájaros?|Disculpa, no dispongo de suficientes datos para contestar a esta pregunta.|False|Español
¿Cuál es la raíz cuadrada de 16?|Disculpa, no dispongo de suficientes datos para contestar a esta pregunta.|False|Español
¿Qué es mejor, un dinosaurio o una ballena?|Disculpa, no dispongo de suficientes datos para contestar a esta pregunta.|False|Español
¿Llegará la inteligencia artificial general?|Disculpa, no dispongo de suficientes datos para contestar a esta pregunta.|False|Español
¿Tenemos derecho a comernos los animales?|Disculpa, no dispongo de suficientes datos para contestar a esta pregunta.|False|Español
¿Hay una religión absoluta?|Disculpa, no dispongo de suficientes datos para contestar a esta pregunta.|False|Español
¿Debería afiliarme a un sindicato para defender mis derechos?|Disculpa, no dispongo de suficientes datos para contestar a esta pregunta.|False|Español
¿Es la democracia el mejor sistema político posible?|Disculpa, no dispongo de suficientes datos para contestar a esta pregunta.|False|Español
¿Es España realmente una democracia?|Disculpa, no dispongo de suficientes datos para contestar a esta pregunta.|False|Español
¿Cuál es el mejor género musical?|Disculpa, no dispongo de suficientes datos para contestar a esta pregunta.|False|Español
¿Debería tener descendencia?|Disculpa, no dispongo de suficientes datos para contestar a esta pregunta.|False|Español
¿El dinero hace la felicidad?|Disculpa, no dispongo de suficientes datos para contestar a esta pregunta.|False|Español
¿Qué debería priorizar al buscar trabajo: dinero, satisfacción personal, o beneficio social?|Disculpa, no dispongo de suficientes datos para contestar a esta pregunta.|False|Español
¿Cómo te han desarrollado?|Disculpa, no dispongo de suficientes datos para contestar a esta pregunta.|False|Español
¿Quién te ha desarrollado?|Disculpa, no dispongo de suficientes datos para contestar a esta pregunta.|False|Español
¿En qué plataforma estas desplegado?|Disculpa, no dispongo de suficientes datos para contestar a esta pregunta.|False|Español
¿Cuánto cuesta un café?|Disculpa, no dispongo de suficientes datos para contestar a esta pregunta.|False|Español
Can I be considered a refugee?|To be considered a refugee, you must be outside your country for fear of being persecuted for non-economic reasons (e.g. race, religion, nationality, membership of a social group, political opinions, gender or sexual orientation).|True|Inglés
Can I have asylum or subsidiary protection?|You may have it if upon returning to your home country you have a real risk of harm, even if you are not a refugee.|True|Inglés
Can I be deported if I have sought asylum?|Until there is a final decision, a person who has sought asylum cannot be deported.|True|Inglés
Where can I apply for asylum or international protection in Spain?|You can do so at border posts, at airports and international ports. Also at the CIE. Within the Spanish territory, in authorized police stations, Offices of Foreign Affairs and OAR (Oficina de Asilo y Refugio).|True|Inglés
Can I apply for asylum or international protection outside of Spain?|Yes, it is necessary that the authorities of the Spanish Diplomatic Representation be addressed on the grounds of a danger to their physical integrity. The respective Ambassadors will be able to promote their transfer to Spain to allow their request to be submitted.|True|Inglés
What happens when submitting the application?|At the time of the application, the foreign person shall be informed, in a language that he may understand, of: (a) The procedure to be followed and the confidential nature of the request. (b) Their rights and obligations during processing, especially in terms of time and means. (c) The possibility of contacting the United Nations High Commissioner for Refugees and the legally recognized non-governmental organizations whose objectives include advice and assistance to persons in need of international protection. (d) The potential consequences of non-compliance with their obligations or lack of cooperation with the authorities. (e) The social rights and benefits to which it has access as an applicant for international protection.|True|Inglés
What if I can't phisically attend to do the request?|Then, another person should attend phisically on your behalf. In this case, the applicant must ratify the petition once the impediment is over.|True|Inglés
Where do I have to go to get assistance?|Applicants of international protection will have the right to health care and free legal assistance from the state. In addition, there are organizations that provide free legal assistance and guidance on the Spanish asylum procedure, as well as social assistance services, job search, housing... In this link you can find some NGOs where you can find help and guidance: https://help.unhcr.org/spain/where-to find-help-spana/legal/legal/resistance|True|Inglés
How can I meet with my family if they are in our country of origin?|By being recognized as a refugee or beneficiary of subsidiary protection, the Office of UNHCR in Spain will be able to help depending on the country of origin in which family members are present and in the necessary procedures to carry out it.|True|Inglés
How can I return to my country of origin?|If you have been recognized as a refugee or beneficiary of subsidiary protection, you must go to the Spanish asylum authorities to receive information about the procedures and programs in Spain for voluntary return.|True|Inglés
Can I resettle in Spain?|Spain will determine on an annual basis the number of people who may be resettled. For further information, see https://www.acnur.org/en-es/acnur-en-espana/nuestro-working|True|Inglés
When should I apply for refugee status, asylum or subsidy?|You have to attend phisically to the regulatory sites without delay or within a maximum period of one month from the entry into the Spanish territory or, if applicable, since events justifying the well-founded fear of persecution or serious damage appear.|True|Inglés
What are my rights as an applicant?|a) to be documented as an international protection seeker; (b) to free legal assistance and interpreter; (c) to communicate your request to UNHCR; (d) to suspend any process of return, expulsion or extradition that might affect the applicant; (e) to know the contents of the file at any time; (f) to benefit from health care services under the conditions set forth; (g) to receive specific social benefits in the terms provided for.|True|Inglés
What are my obligations as an applicant?|a) to cooperate with the Spanish authorities in the procedure for the granting of international protection; b) to submit, as soon as possible, all those elements that, together with their own declaration, contribute to substantiate their request. Among others, they may submit the documentation of their age, past, including that of related relatives, identity, nationality or nationalities, places of prior residence, requests for international protection, travel itineraries, travel documents and reasons for which they request protection; c) provide their fingerprints, allow them to be photographed and, where appropriate, consent to the recording of their statements, provided that they have been previously informed; d) inform about your home address in Spain and any changes related to it; e) also inform the competent authorities or appear before it, where required under any circumstances of your request|True|Inglés
How long do I have to wait for the application to be resolved?|The resolution period is six months. If the resolution has not been notified at this time, it is understood that it has been rejected.|True|Inglés
How is the resolution of the request communicated?|For communications and notifications purposes, the last address or residence provided will be taken into account. When this notification procedure is not successful, the procedure will be carried out through the Citizen App's Portal, the electronic portal of the Office of Asylum and Refugio and the advertising boards, accessible to the public, og the corresponding police station or the Office of Foreigners of the province in which the last place of residence of the applicant and, in any case, the OAR (Oficina de Asilo y Refugio).|True|Inglés
What family members can benefit from my refugee status?|The first-degree ascendants who accredited the unit and first-degree descendants who are minors, with the exception of different nationality. (b) The spouse or person linked by a similar relationship of affection and coexistence, except in some cases (divorce, gender-based violence, etc.) c) Another adult who is responsible for the international protection beneficiary, in accordance with the Spanish legislation in force, when the beneficiary is an unmarried minor. (d) Other members of the family of the refugee or beneficiary of subsidiary protection provided that dependency on those and the existence of prior coexistence in the country of origin is sufficiently established.|True|Inglés
What is the difference between refugee status, subsidiary protection and international protection?|The refugee status requires persecution for some reason (race, religion, gender, etc.), while subsidiary protection does not require persecution of a group but still the person is at risk when returning to the country of origin; international protection encompasses the two previous concepts.|True|Inglés
How can I go to a reception centre?|You need to meet a number of requirements set by the Ministry of Inclusion, Social Security and Migration. If you are an internacional protection applicant, you can go to the entity that manages the First Accepted Program in the province where it is located.|True|Inglés
What can I do if I find myself in a situation of vulnerability due to lack of economic income or housing?|If you are an asylum seeker, a refugee, a stateless person, you are authorized to stay in Spain for international protection or are an immigrant in a situation of social vulnerability, based on your needs, the CEAR Inclusion Team (Comisión Española de Ayuda al Refugiado) will provide you with adequate assistance and will design with you an itinerary that promotes your personal autonomy and your full social integration. Find your nearest CEAR delegation to contact them.|True|Inglés
Where can I find advice to find employment, create a company or vocational training?|The CEAR (Comisión Española de Ayuda al Refugiado) focus on how to look for employment and provide you with job offers according to your profile. They also offer professional courses to improve your options to find a job. If you want to set up a company or self-employment, they advise you and facilitate access to economic aid. Find your nearest CEAR delegation to contact them.|True|Inglés
What organizations can help me?|Organizations that can help people who need international protection are mainly CEAR (Comisión Española de Ayuda al Refugiado) and UNHCR (United Nations High Commissioner for Refugees).|True|Inglés
What are the steps of the asylum procedure?|First phase: Admission to processing. Within one month, the OAR will notify the person if the request has not been accepted. If during this month, they have not contacted the applicant, it will be understood as admitted to the proceedings. In the event that you have filed a request at a border post, the authorities have up to four days to decide on admission to the proceedings. Phase 2: Instruction. The OAR will examine in depth your application admitted to processing. Phase 3. Resolution. Once the request has been studied, you will be informed of the resolution.|True|Inglés
Is the process confidential?|All people who talk to you (workers, police, interpreters, lawyers, etc.) are obliged to keep the confidentiality of both your data and everything you're exposing. It is important that you know that your request will never be communicated to the government of your country of origin.|True|Inglés
Can I have the help of a lawyer and an interpreter?|International protection applicants are entitled to free legal assistance and to an interpreter.|True|Inglés
What am I entitled to the asylum application?|Being an international protection applicant gives you the right to stay in Spain on a regular basis while the application is resolved. Any process of refoulement and expulsion from the country is suspended. You also have the right to receive legal and health assistance, to access the state host program and to be documented as an international protection applicant.|True|Inglés
What documentation will I have if I am accepted?|The first document you will have is the Manifestation of Will to Present the Application for International Protection. This paper already includes the day on which the interview will take place and the place, the identity data of the person concerned, their photograph and the documents to be presented in the interview. Once the interview is completed, the Reservoir for the presentation of the request for international protection will be delivered. It is a document that identifies as an international protection applicant and lasts for an additional eight months. This is an interim document while the application is being considered. After six months of the application, this document grants authorization to work. After nine months, you'll have to renew it and they'll give you the red card. This document identifies you as an international protection applicant and allows you to be and work in the state territory for six months. It is an interim document while the application is being considered. Applicants of statelessness have a green photo document and a foreign identity number (NIE), but have no authorization to work.|True|Inglés
What social benefits will I receive?|The Spanish Government has a social care programme for applicants for international protection who do not have economic resources to meet their basic needs. In order to access the program, you must have initiated the application for international protection in the first six months of your arrival in the territory of the European Union. You must bear in mind that this is a state-of-the-art host device, with places throughout the Spanish territory, and it is the Spanish Government that will assign your place to you, regardless of where you have initiated the procedure for applying for international protection.|True|Inglés
Who and when will make a decision on my case?|The Spanish Government is the only competent authority in the field of asylum and refuge. It will be decided by the Spanish Minister of the Interior, on the proposal of the Comisión Interministerial de Asilo y Refugio (CIAR). Once the application has been accepted, it should be pronounced within a maximum period of six months. However, the process usually lasts longer. If you're late, you should be informed about the reason for the delay. Remember you have the right to consult your file.|True|Inglés
If I get international protection, do I also have nationality?|No, but if you obtain the refugee status, the access deadlines are reduced and you can apply for it in five years.|True|Inglés
What happens if I am denied asylum?|In that case, you must leave Spain, except if you have any residence authorization. You can also resort to denial of your asylum application in court.|True|Inglés
Is it going to rain today?|Sorry, I don't have enough data to answer this question.|False|Inglés
Where can I play football?|Sorry, I don't have enough data to answer this question.|False|Inglés
Why do birds fly?|Sorry, I don't have enough data to answer this question.|False|Inglés
What is the square root of 16?|Sorry, I don't have enough data to answer this question.|False|Inglés
What's better, a dinosaur or a whale?|Sorry, I don't have enough data to answer this question.|False|Inglés
Will general artificial intelligence arrive?|Sorry, I don't have enough data to answer this question.|False|Inglés
Do we have the right to eat animals?|Sorry, I don't have enough data to answer this question.|False|Inglés
Is there an absolute religion?|Sorry, I don't have enough data to answer this question.|False|Inglés
Should I join a trade union to defend my rights?|Sorry, I don't have enough data to answer this question.|False|Inglés
Is democracy the best possible political system?|Sorry, I don't have enough data to answer this question.|False|Inglés
Is Spain really a democracy?|Sorry, I don't have enough data to answer this question.|False|Inglés
What is the best musical genre?|Sorry, I don't have enough data to answer this question.|False|Inglés
Should I have offspring?|Sorry, I don't have enough data to answer this question.|False|Inglés
Does money make happiness?|Sorry, I don't have enough data to answer this question.|False|Inglés
What should be prioritised when looking for work: money, personal satisfaction, or social benefit?|Sorry, I don't have enough data to answer this question.|False|Inglés
How have you been developed?|Sorry, I don't have enough data to answer this question.|False|Inglés
Who has developed you?|Sorry, I don't have enough data to answer this question.|False|Inglés
On which platform are you deployed?|Sorry, I don't have enough data to answer this question.|False|Inglés
How much does a coffee cost?|Sorry, I don't have enough data to answer this question.|False|Inglés
